hh_13,hh_20,hh_27,hh_34,hh_41,hh_48,hh_55,hh_62,hh_69,h0_Th13,h0_Th20,h0_Th27,h0_Th34,h0_Th41,h0_Th48,h0_Th55,h0_Th62,h0_Th69,Energy_Loss
1.23029,1.05698,0.855396,0.856566,0.76707,0.806937,0.724041,0.700263,0.760225,1.16368,1.03708,0.980975,0.898751,0.836133,0.754041,0.772974,0.748017,0.726694,42.2
0.970964,0.821229,0.687443,0.608416,0.557988,0.516401,0.498536,0.460238,0.470575,0.931497,0.76963,0.695456,0.628766,0.577206,0.518619,0.495798,0.467272,0.466556,51.85
0.899518,0.752687,0.633964,0.545215,0.485548,0.43233,0.425191,0.376901,0.375748,0.844081,0.684586,0.598576,0.550065,0.486309,0.432239,0.405009,0.375116,0.409594,61.5
0.866722,0.723704,0.566606,0.498256,0.4434,0.377725,0.372097,0.31768,0.312085,0.787701,0.629587,0.547542,0.510197,0.441421,0.372878,0.345643,0.32512,0.338336,71.15
0.808074,0.655593,0.51085,0.454976,0.387825,0.343645,0.314876,0.287138,0.256289,0.716351,0.582819,0.499347,0.44142,0.374823,0.329879,0.310983,0.292632,0.28904,80.8
0.681913,0.537704,0.440459,0.377464,0.323531,0.297435,0.264082,0.256481,0.205151,0.590647,0.508944,0.405483,0.369848,0.320974,0.292207,0.267769,0.248493,0.238684,90.45
0.554275,0.436901,0.341352,0.303749,0.271623,0.248367,0.226985,0.194596,0.173655,0.476526,0.407378,0.346476,0.312859,0.261743,0.23881,0.214692,0.207446,0.194343,100.1
0.454027,0.360667,0.280914,0.238573,0.225607,0.206439,0.189204,0.170497,0.135439,0.407141,0.337754,0.29424,0.249695,0.217284,0.199092,0.179788,0.172143,0.169317,109.75
0.392016,0.291012,0.254697,0.197046,0.193152,0.176868,0.159593,0.140453,0.129219,0.376437,0.278094,0.251505,0.212454,0.191468,0.182446,0.152678,0.144811,0.151774,119.4
0.348133,0.258308,0.216614,0.18001,0.167617,0.149855,0.145143,0.126669,0.113638,0.327178,0.247278,0.221337,0.183343,0.168544,0.15915,0.138207,0.122883,0.131393,129.05
0.310544,0.244227,0.183816,0.164363,0.141145,0.128219,0.127542,0.114256,0.104856,0.300558,0.2336,0.199999,0.173838,0.150345,0.135578,0.129208,0.11682,0.110211,138.7
0.279148,0.216695,0.174798,0.146608,0.131257,0.119284,0.107676,0.0995095,0.0951004,0.302216,0.217124,0.177263,0.15671,0.142965,0.126848,0.112457,0.11567,0.10176,148.35
0.276283,0.20471,0.170719,0.131607,0.12195,0.106733,0.101285,0.0902481,0.0908657,0.281541,0.204214,0.15578,0.143081,0.123559,0.110307,0.101991,0.10405,0.100817,158
0.244354,0.193908,0.149394,0.12037,0.121848,0.0976337,0.0914681,0.0865172,0.0886972,0.222716,0.181628,0.13879,0.134607,0.116155,0.101754,0.0950158,0.0995142,0.0921088,167.65
0.23047,0.172144,0.127875,0.113245,0.103731,0.0880802,0.0875701,0.081641,0.0796882,0.214628,0.165534,0.126078,0.120614,0.108399,0.0959863,0.0917939,0.083706,0.0948426,177.3
0.218728,0.142758,0.114953,0.108138,0.0936279,0.0792009,0.0837563,0.0732845,0.0716056,0.189527,0.157287,0.119876,0.110856,0.0890672,0.0939972,0.0834298,0.0785387,0.0741584,186.95
0.202986,0.137715,0.107271,0.0979912,0.0916463,0.0776031,0.0718827,0.0686098,0.0629424,0.188457,0.131799,0.113169,0.110463,0.089122,0.0773449,0.074347,0.0740307,0.0633233,196.6
