hh_Theta=13,hh_Theta=20,hh_Theta=27,hh_Theta=34,hh_Theta=41,hh_Theta=48,hh_Theta=55,hh_Theta=61,hh_Theta=70,h0_Theta=13,h0_Theta=20,h0_Theta=27,h0_Theta=34,h0_Theta=41,h0_Theta=48,h0_Theta=55,h0_Theta=62,h0_Theta=69,h0_Theta=76,EnergyLoss (meV),,
0.160933,0.130263,0.0810853,0.0704872,0.0540466,0.0610626,0.0475044,0.0421192,0.0396203,0.133403,0.115818,0.08686,0.0818882,0.0656669,0.0589858,0.0497195,0.0296438,0.0371097,0.0455403,329.9,,
0.15494,0.114625,0.0799881,0.0668345,0.0548538,0.0547205,0.045662,0.0379055,0.0388904,0.13153,0.110871,0.0976305,0.0791953,0.0626538,0.060854,0.0401401,0.0298556,0.0376709,0.0437034,339.55,,
0.160932,0.115567,0.0723926,0.0632187,0.056994,0.0617972,0.0480626,0.0338636,0.0351213,0.12567,0.112608,0.0901395,0.0741329,0.0578756,0.0568841,0.0322709,0.0297924,0.0379213,0.0411029,349.2,,
0.157496,0.108882,0.0761866,0.06524,0.049531,0.0534377,0.0498613,0.0332795,0.0364087,0.127502,0.11981,0.0879985,0.0640773,0.0507338,0.050668,0.0395413,0.0326365,0.0383547,0.0355853,358.85,,
0.139251,0.112457,0.0709019,0.0587347,0.0425119,0.0570061,0.0440501,0.0300482,0.0353539,0.126608,0.109262,0.0778347,0.0594586,0.0515617,0.0573112,0.0429026,0.0313818,0.0366172,0.0352912,368.5,,
0.14249,0.103971,0.0705462,0.0609938,0.04404,0.0476899,0.0338667,0.0310285,0.030101,0.13697,0.0930868,0.0715587,0.0644868,0.0564654,0.0533294,0.0432863,0.0230899,0.0352686,0.0318962,378.15,,
0.145638,0.101713,0.0672241,0.05783,0.0512728,0.0444748,0.0378355,0.0286904,0.035667,0.127383,0.0918682,0.0756936,0.0615769,0.056065,0.0423856,0.033118,0.0257176,0.0363601,0.0374876,387.8,,
0.146265,0.099489,0.0561871,0.0548889,0.0463868,0.0416827,0.039466,0.0348881,0.0395156,0.1215,0.0914431,0.0771496,0.0602159,0.0514654,0.0418005,0.0373367,0.0251927,0.0358185,0.0378732,397.45,,
0.144748,0.102416,0.0618246,0.0595166,0.0469693,0.0416727,0.035955,0.0321426,0.0355869,0.128994,0.0855916,0.0924276,0.0576539,0.0483955,0.0464149,0.0368364,0.0233218,0.0341913,0.0361932,407.1,,
0.14101,0.106473,0.059374,0.0590923,0.0477475,0.0428848,0.0407441,0.0334745,0.0312033,0.131667,0.0907248,0.0898573,0.0605213,0.0514172,0.0439864,0.0353249,0.0251603,0.0345769,0.0361347,416.75,,
0.142065,0.0985649,0.0590559,0.0551759,0.0459866,0.0441985,0.0380683,0.0347827,0.0310673,0.124186,0.094633,0.0883127,0.0670173,0.0519407,0.041354,0.029334,0.0231151,0.0341952,0.0349124,426.4,,
0.134614,0.103839,0.0637579,0.0632385,0.0467454,0.0404655,0.0354917,0.0304697,0.0334043,0.117898,0.0969817,0.0790228,0.0663454,0.0501373,0.0436852,0.0300402,0.0289359,0.0369549,0.0337506,436.05,,
0.129641,0.107825,0.059707,0.0649871,0.0442239,0.0401029,0.0414706,0.0338556,0.0360765,0.114784,0.0915814,0.0755066,0.0585374,0.0494597,0.0452473,0.0386021,0.0306922,0.0385074,0.0338764,445.7,,
0.151812,0.104705,0.058117,0.0614994,0.0444808,0.0478818,0.0389512,0.0374436,0.0338021,0.124094,0.0863707,0.0782214,0.057574,0.0515092,0.0447732,0.0299606,0.0248254,0.0395387,0.0344283,455.35,,
0.143201,0.0987912,0.0620178,0.0580755,0.0482068,0.0395255,0.0341663,0.0367113,0.0323566,0.134732,0.088505,0.0767089,0.0596785,0.0521461,0.0446996,0.0369519,0.0279244,0.0378884,0.0322653,465,,
